FEMALE ID,ReproYears ,SurvivingCalves,sightings,deepP,channelP,shallowP,deepSR,channelSR,shallowSR,tracking time
DF183,13,1,360,0.402777778,0.041666667,0.316666667,1.23875975,0.120404613,0.963095498,19.8
DF184,23,2,23,0.086956522,0,0,0.267438387,0,0,16.04657534
DF185,16,1,125,0.352,0.4,0.128,1.08259059,1.155884289,0.389293338,22.48767123
DF186,7,0,8,0,0.125,0.75,0,0.36121384,2.281015654,8.82739726
DF187,15,3,59,0,0.677966102,0.254237288,0,1.959125914,0.773225645,19.01917808
DF188,6,0,10,0,0.8,0.2,0,2.311768578,0.608270841,6.263013699
DF189,8,0,62,0,0.161290323,0.419354839,0,0.466082375,1.275406602,13.17260274
DF190,14,2,3,0.666666667,0,0.333333333,2.050360966,0,1.013784735,6.605479452
DF191,30,6,89,0.887640449,0.078651685,0,2.729974994,0.227280619,0,23.93150685
DF192,20,3,49,0,0.693877551,0.244897959,0,2.005105399,0.744821438,21.75616438
DF193,19,2,34,0,0.588235294,0.294117647,0,1.699829837,0.894515943,20.09863014
DF194,25,3,50,0.96,0,0.02,2.952519791,0,0.060827084,19.64383562
DF195,14,2,563,0.147424512,0.122557726,0.410301954,0.453410196,0.354156376,1.247873573,22.03287671
DF196,21,4,92,0.934782609,0.010869565,0.010869565,2.874962659,0.031409899,0.033058198,23.12876712
DF197,16,2,456,0.39254386,0.122807018,0.25877193,1.207284911,0.354876755,0.787017097,22.04109589
DF198,24,4,49,0.020408163,0.775510204,0.183673469,0.062766152,2.241000152,0.558616079,16.34794521
DF199,22,4,132,0.037878788,0.643939394,0.098484848,0.116497782,1.860798571,0.299527308,22.02465753
DF200,11,1,47,0.021276596,0.510638298,0.382978723,0.065437052,1.475596965,1.164773951,23.96712329
DF201,13,0,32,0.03125,0.0625,0.40625,0.09611067,0.18060692,1.235550146,11.37260274
DF202,13,1,9,0.333333333,0,0,1.025180483,0,0,9.991780822
DF203,15,2,135,0.592592593,0,0.207407407,1.822543081,0,0.630799391,21.93972603
DF204,15,2,72,0.013888889,0.736111111,0.208333333,0.042715853,2.127148171,0.633615459,19.91780822
DF205,16,1,62,0.048387097,0.516129032,0.258064516,0.148816522,1.491463599,0.784865601,20.8630137
DF206,20,3,370,0.416216216,0.051351351,0.289189189,1.280090225,0.148390551,0.879526757,14.11780822
DF207,6,1,50,0.04,0.22,0.68,0.123021658,0.635736359,2.06812086,18.37534247
DF208,29,5,587,0.148211244,0.100511073,0.391822828,0.455829823,0.290447926,1.191672006,29.03013699
DF209,19,1,28,0,0.821428571,0.142857143,0,2.373690951,0.434479172,14.17808219
DF210,16,0,38,0.973684211,0,0,2.994606148,0,0,10.09863014
DF211,22,3,58,0.034482759,0.25862069,0.534482759,0.106053153,0.74733898,1.625551386,20.80547945
DF212,10,2,4,0.5,0,0,1.537770725,0,0,8.794520548
DF213,20,0,40,0.025,0.525,0.325,0.076888536,1.517098129,0.988440117,18.18356164
DF214,26,3,58,0.017241379,0.224137931,0.724137931,0.053026577,0.647693783,2.202359942,22.29863014
DF215,9,0,1,1,0,0,3.075541449,0,0,0
DF216,11,1,5,0.4,0,0,1.23021658,0,0,11.94246575
DF217,8,0,38,0.894736842,0.026315789,0.026315789,2.751800244,0.076045019,0.080035637,8.569863014
DF218,13,1,59,0.440677966,0.152542373,0.288135593,1.35532335,0.440803331,0.876322398,5.402739726
DF219,16,3,23,0,0.869565217,0.130434783,0,2.512791933,0.396698375,12.83013699
DF220,14,1,69,0.202898551,0.405797101,0.231884058,0.624022903,1.172636235,0.705241555,12.32054795
DF221,30,2,88,0.863636364,0.056818182,0.022727273,2.656149433,0.164188109,0.069121686,25.90136986
DF222,5,1,7,0.714285714,0,0,2.196815321,0,0,11.97808219
DF223,22,4,133,0.917293233,0.022556391,0.022556391,2.821173359,0.065181445,0.068601975,22.16986301
DF224,15,2,58,0,0.74137931,0.24137931,0,2.142371743,0.734119981,15.13972603
DF225,15,2,25,0.36,0,0.36,1.107194922,0,1.094887514,15.90410959
DF226,17,0,106,0.443396226,0.132075472,0.245283019,1.363683473,0.381659907,0.745992541,12.15068493
DF227,19,3,275,0.483636364,0.134545455,0.247272727,1.487443683,0.388797443,0.752043949,14.73424658
DF228,16,2,50,0.98,0,0.02,3.01403062,0,0.060827084,16.01369863
DF229,21,3,27,0.962962963,0.037037037,0,2.961632507,0.107026323,0,17.96164384
DF230,13,0,15,0.133333333,0.066666667,0.466666667,0.410072193,0.192647382,1.419298629,10.09589041
DF231,12,0,114,0.070175439,0.596491228,0.149122807,0.21582747,1.723687098,0.453535276,19.2109589
DF232,11,0,27,0.592592593,0.074074074,0.185185185,1.822543081,0.214052646,0.563213742,14.78630137
DF233,22,1,68,0,0.147058824,0.529411765,0,0.424957459,1.610128697,19.69863014
DF234,24,4,41,0.87804878,0.024390244,0.073170732,2.700475419,0.070480749,0.222538113,23.05753425
DF235,19,2,96,0.447916667,0,0.125,1.377586274,0,0.380169276,16.22465753
DF236,12,0,6,0.333333333,0,0.166666667,1.025180483,0,0.506892368,10.91780822
DF237,6,1,55,0.709090909,0.090909091,0.109090909,2.180838482,0.262700975,0.331784095,16.11780822
DF238,15,2,13,1,0,0,3.075541449,0,0,12.06849315
DF239,10,1,101,0.435643564,0,0.168316832,1.339839839,0,0.511911104,18.12328767
DF240,17,2,17,0.411764706,0.176470588,0.235294118,1.26639942,0.509948951,0.715612754,17.82465753
